id,name,category,dynasty,year,web_image_path,source_dir
building-1005-bdbe12a3,波日桥,桥梁,元,1644,D:/code/Building/public/building-gallery/building-1005-bdbe12a3.jpg,D:/code/building_images/波日桥
building-1012-770b4385,宝箴塞,民居,清,1910,D:/code/Building/public/building-gallery/building-1012-770b4385.jpg,D:/code/building_images/宝箴塞
building-1017-229a58ea,寨英村古建筑群,民居,明,1385,D:/code/Building/public/building-gallery/building-1017-229a58ea.jpg,D:/code/building_images/寨英村古建筑群
building-102-31c8c643,恭王府及花园,官府,清,1777,D:/code/Building/public/building-gallery/building-102-31c8c643.jpg,D:/code/building_images/恭王府及花园
building-1022-b696ed06,葛镜桥,桥梁,明,1618,D:/code/Building/public/building-gallery/building-1022-b696ed06.jpg,D:/code/building_images/葛镜桥
building-103-e00c5c1a,网师园,民居,宋,1174,D:/code/Building/public/building-gallery/building-103-e00c5c1a.jpg,D:/code/building_images/网师园
building-1030-8d5f2fbb,宝山石头城,民居,元,1264,D:/code/Building/public/building-gallery/building-1030-8d5f2fbb.jpg,D:/code/building_images/宝山石头城
building-1037-b9b9e32e,朝阳楼,官府,明,1389,D:/code/Building/public/building-gallery/building-1037-b9b9e32e.jpg,D:/code/building_images/朝阳楼
building-1040-0fa794fc,金龙桥,桥梁,清,1880,D:/code/Building/public/building-gallery/building-1040-0fa794fc.jpg,D:/code/building_images/金龙桥
building-1041-0c83e3d6,孟连宣抚司署,官府,明,1406,D:/code/Building/public/building-gallery/building-1041-0c83e3d6.jpg,D:/code/building_images/孟连宣抚司署
building-1043-e5380abd,双龙桥,桥梁,清,1736,D:/code/Building/public/building-gallery/building-1043-e5380abd.jpg,D:/code/building_images/双龙桥
building-1067-93620dde,吴堡石城,民居,明,1368,D:/code/Building/public/building-gallery/building-1067-93620dde.jpg,D:/code/building_images/吴堡石城
building-1069-e573d371,榆林卫城,官府,明,1437,D:/code/Building/public/building-gallery/building-1069-e573d371.jpg,D:/code/building_images/榆林卫城
building-1076-ebc3c387,盘龙山古建筑群,宫殿,明,1643,D:/code/Building/public/building-gallery/building-1076-ebc3c387.jpg,D:/code/building_images/盘龙山古建筑群
building-1077-57fd6c5f,姜氏庄园,民居,清,1862,D:/code/Building/public/building-gallery/building-1077-57fd6c5f.jpg,D:/code/building_images/姜氏庄园
building-1078-af82ce81,丰图义仓,官府,清,1882,D:/code/Building/public/building-gallery/building-1078-af82ce81.jpg,D:/code/building_images/丰图义仓
building-1084-10f464ca,张掖鼓楼,官府,明,1507,D:/code/Building/public/building-gallery/building-1084-10f464ca.jpg,D:/code/building_images/张掖鼓楼
building-1087-18fbf218,永昌钟鼓楼,官府,明,1586,D:/code/Building/public/building-gallery/building-1087-18fbf218.jpg,D:/code/building_images/永昌钟鼓楼
building-1093-7f3b147a,董府,官府,清,1902,D:/code/Building/public/building-gallery/building-1093-7f3b147a.jpg,D:/code/building_images/董府
building-11-be8c5184,安济桥,桥梁,隋,595,D:/code/Building/public/building-gallery/building-11-be8c5184.jpg,D:/code/building_images/安济桥
building-1103-b67d0d0f,琉璃河大桥,桥梁,明,1418,D:/code/Building/public/building-gallery/building-1103-b67d0d0f.jpg,D:/code/building_images/琉璃河大桥
