start_year,count,ratio
-514,1,0.002439
-540,1,0.002439
1014,1,0.002439
1038,1,0.002439
1041,1,0.002439
1044,1,0.002439
1047,1,0.002439
1048,1,0.002439
1053,1,0.002439
1061,1,0.002439
1064,1,0.002439
1071,1,0.002439
1078,1,0.002439
1086,1,0.002439
1098,1,0.002439
1111,1,0.002439
1115,1,0.002439
1127,2,0.004878
1131,3,0.007317
1171,1,0.002439
1174,3,0.007317
1179,1,0.002439
1181,1,0.002439
1190,1,0.002439
1213,1,0.002439
1217,1,0.002439
1218,1,0.002439
1223,1,0.002439
1234,1,0.002439
1253,1,0.002439
1257,1,0.002439
1264,1,0.002439
1265,2,0.004878
1267,1,0.002439
1270,1,0.002439
1271,3,0.007317
1272,1,0.002439
1286,1,0.002439
1294,1,0.002439
1297,1,0.002439
1304,2,0.004878
1314,1,0.002439
1328,1,0.002439
1329,1,0.002439
1334,1,0.002439
1356,1,0.002439
1358,1,0.002439
1368,36,0.087805
1369,3,0.007317
1370,1,0.002439
1371,2,0.004878
1372,2,0.004878
1374,2,0.004878
1375,2,0.004878
1378,1,0.002439
1379,1,0.002439
1380,2,0.004878
1381,1,0.002439
1382,2,0.004878
1385,1,0.002439
1389,3,0.007317
1390,1,0.002439
1392,2,0.004878
1393,1,0.002439
1404,2,0.004878
1406,3,0.007317
1418,1,0.002439
1419,1,0.002439
1421,1,0.002439
1428,2,0.004878
1429,2,0.004878
1436,2,0.004878
1437,1,0.002439
1438,1,0.002439
1440,1,0.002439
1442,1,0.002439
1450,1,0.002439
1457,1,0.002439
1465,1,0.002439
1467,1,0.002439
1472,1,0.002439
1477,2,0.004878
1482,1,0.002439
1483,1,0.002439
1488,3,0.007317
1491,1,0.002439
1498,1,0.002439
1500,1,0.002439
1503,1,0.002439
1505,1,0.002439
1506,1,0.002439
1507,1,0.002439
1508,1,0.002439
1521,1,0.002439
1522,6,0.014634
1532,1,0.002439
1534,1,0.002439
1539,1,0.002439
1541,1,0.002439
1550,1,0.002439
1553,1,0.002439
1554,1,0.002439
1567,1,0.002439
1572,1,0.002439
1573,8,0.019512
1574,4,0.009756
1582,2,0.004878
1585,1,0.002439
1586,1,0.002439
1587,1,0.002439
1591,1,0.002439
1593,1,0.002439
1599,1,0.002439
1600,1,0.002439
1608,1,0.002439
1612,1,0.002439
1614,2,0.004878
1617,2,0.004878
1618,1,0.002439
1621,4,0.009756
1624,1,0.002439
1625,2,0.004878
1628,1,0.002439
1629,1,0.002439
1640,1,0.002439
1641,2,0.004878
1642,1,0.002439
1643,1,0.002439
1644,32,0.078049
1645,1,0.002439
1647,1,0.002439
1652,1,0.002439
1653,1,0.002439
1660,1,0.002439
1662,6,0.014634
1664,1,0.002439
1668,1,0.002439
1671,1,0.002439
1673,1,0.002439
1675,1,0.002439
1697,1,0.002439
1702,1,0.002439
1703,1,0.002439
1716,1,0.002439
1723,2,0.004878
1726,1,0.002439
1728,1,0.002439
1730,3,0.007317
1735,1,0.002439
1736,12,0.029268
1738,1,0.002439
1740,2,0.004878
1742,1,0.002439
1743,1,0.002439
1751,1,0.002439
1756,1,0.002439
1761,1,0.002439
1762,1,0.002439
1763,1,0.002439
1769,2,0.004878
1773,2,0.004878
1775,1,0.002439
1777,1,0.002439
1780,1,0.002439
1781,1,0.002439
1782,1,0.002439
1784,1,0.002439
1787,2,0.004878
1792,1,0.002439
1794,1,0.002439
1796,5,0.012195
1801,2,0.004878
1805,1,0.002439
1818,1,0.002439
1820,1,0.002439
1821,4,0.009756
1823,1,0.002439
1825,1,0.002439
1826,1,0.002439
1832,1,0.002439
1833,1,0.002439
1836,1,0.002439
1842,1,0.002439
1846,2,0.004878
1847,1,0.002439
1849,1,0.002439
1850,1,0.002439
1851,1,0.002439
1855,2,0.004878
1862,3,0.007317
1863,3,0.007317
1865,1,0.002439
1869,1,0.002439
1870,1,0.002439
1875,6,0.014634
1880,2,0.004878
1881,1,0.002439
1882,3,0.007317
1884,1,0.002439
1885,4,0.009756
1888,2,0.004878
1894,1,0.002439
1896,2,0.004878
1897,2,0.004878
1898,1,0.002439
1902,2,0.004878
1908,3,0.007317
1909,1,0.002439
1910,2,0.004878
207,1,0.002439
215,1,0.002439
309,1,0.002439
317,1,0.002439
346,1,0.002439
352,1,0.002439
514,1,0.002439
581,1,0.002439
583,1,0.002439
584,1,0.002439
595,1,0.002439
605,1,0.002439
616,1,0.002439
618,2,0.004878
619,1,0.002439
760,1,0.002439
765,1,0.002439
815,1,0.002439
816,2,0.004878
830,1,0.002439
937,1,0.002439
944,1,0.002439
960,2,0.004878
961,1,0.002439
982,1,0.002439
