building_type,century,count,ratio_in_type,ratio_in_century
民居,19世纪,43,0.220513,0.741379
民居,14世纪,37,0.189744,0.521127
民居,18世纪,31,0.158974,0.596154
民居,17世纪,30,0.153846,0.428571
官府,14世纪,23,0.219048,0.323944
民居,16世纪,19,0.097436,0.452381
桥梁,17世纪,18,0.195652,0.257143
官府,17世纪,17,0.161905,0.242857
民居,15世纪,13,0.066667,0.393939
官府,16世纪,11,0.104762,0.261905
桥梁,16世纪,11,0.119565,0.261905
官府,15世纪,9,0.085714,0.272727
官府,18世纪,9,0.085714,0.173077
桥梁,14世纪,9,0.097826,0.126761
桥梁,18世纪,9,0.097826,0.173077
官府,19世纪,8,0.07619,0.137931
桥梁,12世纪,8,0.086957,0.571429
桥梁,13世纪,8,0.086957,0.421053
桥梁,15世纪,7,0.076087,0.212121
官府,13世纪,6,0.057143,0.315789
桥梁,19世纪,6,0.065217,0.103448
民居,11世纪,6,0.030769,0.461538
宫殿,17世纪,5,0.277778,0.071429
民居,20世纪,5,0.025641,0.625
宫殿,15世纪,4,0.222222,0.121212
桥梁,10世纪,4,0.043478,0.666667
桥梁,11世纪,4,0.043478,0.307692
民居,12世纪,4,0.020513,0.285714
民居,13世纪,4,0.020513,0.210526
官府,11世纪,3,0.028571,0.230769
官府,20世纪,3,0.028571,0.375
官府,4世纪,3,0.028571,0.75
官府,7世纪,3,0.028571,0.6
宫殿,18世纪,3,0.166667,0.057692
桥梁,6世纪,3,0.032609,0.6
官府,3世纪,2,0.019048,1.0
官府,6世纪,2,0.019048,0.4
官府,9世纪,2,0.019048,0.5
官府,公元前6世纪,2,0.019048,1.0
宫殿,14世纪,2,0.111111,0.028169
桥梁,9世纪,2,0.021739,0.5
官府,10世纪,1,0.009524,0.166667
官府,12世纪,1,0.009524,0.071429
宫殿,12世纪,1,0.055556,0.071429
宫殿,13世纪,1,0.055556,0.052632
宫殿,16世纪,1,0.055556,0.02381
宫殿,19世纪,1,0.055556,0.017241
桥梁,4世纪,1,0.01087,0.25
桥梁,7世纪,1,0.01087,0.2
桥梁,8世纪,1,0.01087,0.5
民居,10世纪,1,0.005128,0.166667
民居,7世纪,1,0.005128,0.2
民居,8世纪,1,0.005128,0.5
