building_type,province,count,ratio_in_type,ratio_in_province
民居,江苏省,30,0.153846,0.666667
民居,浙江省,27,0.138462,0.509434
桥梁,浙江省,20,0.217391,0.377358
民居,福建省,17,0.087179,0.73913
民居,湖南省,16,0.082051,0.666667
官府,河北省,15,0.142857,0.555556
民居,山西省,14,0.071795,0.538462
民居,安徽省,13,0.066667,0.684211
民居,广东省,11,0.05641,0.785714
民居,江西省,11,0.05641,0.478261
桥梁,河北省,10,0.108696,0.37037
官府,北京市,9,0.085714,0.5625
民居,湖北省,9,0.046154,0.818182
官府,山西省,8,0.07619,0.307692
桥梁,江西省,8,0.086957,0.347826
民居,四川省,8,0.041026,0.5
官府,江苏省,7,0.066667,0.155556
桥梁,江苏省,7,0.076087,0.155556
民居,山东省,7,0.035897,0.466667
官府,云南省,6,0.057143,0.352941
官府,河南省,6,0.057143,0.352941
官府,浙江省,6,0.057143,0.113208
桥梁,云南省,6,0.065217,0.352941
官府,四川省,5,0.047619,0.3125
官府,甘肃省,5,0.047619,0.714286
桥梁,安徽省,5,0.054348,0.263158
桥梁,河南省,5,0.054348,0.294118
桥梁,湖南省,5,0.054348,0.208333
民居,云南省,5,0.025641,0.294118
民居,西藏自治区,5,0.025641,0.625
官府,江西省,4,0.038095,0.173913
官府,贵州省,4,0.038095,0.4
官府,陕西省,4,0.038095,0.4
宫殿,北京市,4,0.222222,0.25
桥梁,山东省,4,0.043478,0.266667
桥梁,福建省,4,0.043478,0.173913
民居,河南省,4,0.020513,0.235294
官府,内蒙古自治区,3,0.028571,0.6
官府,山东省,3,0.028571,0.2
官府,广西壮族自治区,3,0.028571,0.333333
官府,湖南省,3,0.028571,0.125
官府,辽宁省,3,0.028571,0.5
桥梁,四川省,3,0.032609,0.1875
桥梁,山西省,3,0.032609,0.115385
桥梁,广西壮族自治区,3,0.032609,0.333333
桥梁,贵州省,3,0.032609,0.3
民居,贵州省,3,0.015385,0.3
民居,陕西省,3,0.015385,0.3
官府,广东省,2,0.019048,0.142857
官府,新疆维吾尔自治区,2,0.019048,1.0
官府,福建省,2,0.019048,0.086957
宫殿,内蒙古自治区,2,0.111111,0.4
宫殿,河南省,2,0.111111,0.117647
宫殿,西藏自治区,2,0.111111,0.25
桥梁,辽宁省,2,0.021739,0.333333
桥梁,陕西省,2,0.021739,0.2
民居,北京市,2,0.010256,0.125
民居,广西壮族自治区,2,0.010256,0.222222
民居,海南省,2,0.010256,1.0
民居,甘肃省,2,0.010256,0.285714
官府,吉林省,1,0.009524,1.0
官府,宁夏回族自治区,1,0.009524,1.0
官府,安徽省,1,0.009524,0.052632
官府,湖北省,1,0.009524,0.090909
官府,西藏自治区,1,0.009524,0.125
宫殿,山东省,1,0.055556,0.066667
宫殿,山西省,1,0.055556,0.038462
宫殿,广西壮族自治区,1,0.055556,0.111111
宫殿,江苏省,1,0.055556,0.022222
宫殿,河北省,1,0.055556,0.037037
宫殿,湖北省,1,0.055556,0.090909
宫殿,辽宁省,1,0.055556,0.166667
宫殿,陕西省,1,0.055556,0.1
桥梁,北京市,1,0.01087,0.0625
桥梁,广东省,1,0.01087,0.071429
民居,天津市,1,0.005128,1.0
民居,河北省,1,0.005128,0.037037
民居,重庆市,1,0.005128,1.0
民居,青海省,1,0.005128,1.0
