building_type,material_category,count,ratio_in_type,ratio_in_material_category
民居,砖瓦类,144,0.738462,0.580645
民居,木材类,141,0.723077,0.594937
民居,石材类,137,0.702564,0.469178
官府,砖瓦类,85,0.809524,0.342742
桥梁,石材类,81,0.880435,0.277397
官府,石材类,62,0.590476,0.212329
官府,木材类,59,0.561905,0.248945
民居,土类,37,0.189744,0.560606
桥梁,木材类,29,0.315217,0.122363
官府,土类,22,0.209524,0.333333
宫殿,石材类,12,0.666667,0.041096
宫殿,砖瓦类,10,0.555556,0.040323
桥梁,砖瓦类,9,0.097826,0.03629
桥梁,金属类,9,0.097826,0.5625
宫殿,木材类,8,0.444444,0.033755
桥梁,灰浆胶结类,6,0.065217,0.428571
民居,灰浆胶结类,5,0.025641,0.357143
官府,金属类,4,0.038095,0.25
桥梁,土类,4,0.043478,0.060606
官府,灰浆胶结类,3,0.028571,0.214286
宫殿,土类,3,0.166667,0.045455
桥梁,其他材料,2,0.021739,0.666667
民居,金属类,2,0.010256,0.125
宫殿,其他材料,1,0.055556,0.333333
宫殿,金属类,1,0.055556,0.0625
