start_dynasty,material_category,count,ratio_in_dynasty,ratio_in_material_category
清,石材类,111,0.69375,0.380137
明,石材类,110,0.748299,0.376712
清,砖瓦类,106,0.6625,0.427419
清,木材类,105,0.65625,0.443038
明,砖瓦类,95,0.646259,0.383065
明,木材类,80,0.544218,0.337553
宋,石材类,31,0.756098,0.106164
清,土类,29,0.18125,0.439394
明,土类,23,0.156463,0.348485
宋,木材类,20,0.487805,0.084388
宋,砖瓦类,15,0.365854,0.060484
元,石材类,13,0.684211,0.044521
元,木材类,12,0.631579,0.050633
唐,石材类,10,0.625,0.034247
元,砖瓦类,9,0.473684,0.03629
唐,木材类,9,0.5625,0.037975
明,金属类,9,0.061224,0.5625
唐,砖瓦类,6,0.375,0.024194
清,灰浆胶结类,6,0.0375,0.428571
明,灰浆胶结类,5,0.034014,0.357143
五代十国,木材类,4,1.0,0.016878
宋,土类,4,0.097561,0.060606
金,石材类,4,0.8,0.013699
东晋,砖瓦类,3,1.0,0.012097
东汉,砖瓦类,3,1.0,0.012097
五代十国,砖瓦类,3,0.75,0.012097
清,金属类,3,0.01875,0.1875
隋,石材类,3,0.5,0.010274
隋,砖瓦类,3,0.5,0.012097
东周,石材类,2,1.0,0.006849
东周,砖瓦类,2,1.0,0.008065
东晋,土类,2,0.666667,0.030303
东晋,石材类,2,0.666667,0.006849
五代十国,石材类,2,0.5,0.006849
元,土类,2,0.105263,0.030303
南北朝,石材类,2,1.0,0.006849
唐,土类,2,0.125,0.030303
宋,金属类,2,0.04878,0.125
金,木材类,2,0.4,0.008439
金,砖瓦类,2,0.4,0.008065
隋,木材类,2,0.333333,0.008439
东周,土类,1,0.5,0.015152
东周,木材类,1,0.5,0.004219
东晋,灰浆胶结类,1,0.333333,0.071429
东汉,土类,1,0.333333,0.015152
东汉,木材类,1,0.333333,0.004219
东汉,灰浆胶结类,1,0.333333,0.071429
东汉,石材类,1,0.333333,0.003425
南北朝,木材类,1,0.5,0.004219
宋,其他材料,1,0.02439,0.333333
明,其他材料,1,0.006803,0.333333
西晋,石材类,1,1.0,0.003425
辽,土类,1,1.0,0.015152
辽,砖瓦类,1,1.0,0.004032
金,土类,1,0.2,0.015152
金,金属类,1,0.2,0.0625
隋,其他材料,1,0.166667,0.333333
隋,灰浆胶结类,1,0.166667,0.071429
隋,金属类,1,0.166667,0.0625
