line_no,name,building_type,start_dynasty,start_year,century,province,dimension,term,term_confidence
11,安济桥,桥梁,隋,595,6世纪,河北省,建筑结构体系,拱券结构,0.95
11,安济桥,桥梁,隋,595,6世纪,河北省,建筑结构体系,敞肩拱,0.93
11,安济桥,桥梁,隋,595,6世纪,河北省,建筑结构体系,石拱桥,0.9
11,安济桥,桥梁,隋,595,6世纪,河北省,建筑材料,石材,0.96
11,安济桥,桥梁,隋,595,6世纪,河北省,建筑材料,石灰砂浆,0.85
11,安济桥,桥梁,隋,595,6世纪,河北省,建筑材料,铁榫,0.8
11,安济桥,桥梁,隋,595,6世纪,河北省,建筑功能,交通桥梁,0.97
11,安济桥,桥梁,隋,595,6世纪,河北省,建筑功能,泄洪通道,0.88
11,安济桥,桥梁,隋,595,6世纪,河北省,营造技艺,干砌法,0.92
11,安济桥,桥梁,隋,595,6世纪,河北省,营造技艺,拱券砌筑,0.94
11,安济桥,桥梁,隋,595,6世纪,河北省,营造技艺,铁件加固,0.87
11,安济桥,桥梁,隋,595,6世纪,河北省,建筑空间布局,单跨拱桥,0.91
11,安济桥,桥梁,隋,595,6世纪,河北省,建筑空间布局,对称布局,0.89
13,永通桥,桥梁,唐,765,8世纪,河北省,建筑结构体系,单孔敞肩弧形坦拱,0.95
13,永通桥,桥梁,唐,765,8世纪,河北省,建筑结构体系,并列券敞肩式,0.94
13,永通桥,桥梁,唐,765,8世纪,河北省,建筑结构体系,纵向并列砌筑,0.93
13,永通桥,桥梁,唐,765,8世纪,河北省,建筑材料,石桥,0.85
13,永通桥,桥梁,唐,765,8世纪,河北省,建筑材料,拱券石,0.84
13,永通桥,桥梁,唐,765,8世纪,河北省,建筑材料,浮雕石材,0.82
13,永通桥,桥梁,唐,765,8世纪,河北省,建筑功能,通济交通,0.9
13,永通桥,桥梁,唐,765,8世纪,河北省,建筑功能,车行便桥,0.89
13,永通桥,桥梁,唐,765,8世纪,河北省,营造技艺,纵向并列砌筑法,0.93
13,永通桥,桥梁,唐,765,8世纪,河北省,营造技艺,斗子蜀柱,0.91
13,永通桥,桥梁,唐,765,8世纪,河北省,营造技艺,荷叶墩,0.9
13,永通桥,桥梁,唐,765,8世纪,河北省,营造技艺,驼峰托斗,0.89
13,永通桥,桥梁,唐,765,8世纪,河北省,建筑空间布局,主副拱组合,0.92
13,永通桥,桥梁,唐,765,8世纪,河北省,建筑空间布局,四小拱伏设,0.91
13,永通桥,桥梁,唐,765,8世纪,河北省,建筑空间布局,桥面梯形平面,0.9
53,故宫,宫殿,明,1406,15世纪,北京市,建筑结构体系,九梁十八柱七十二条脊,0.92
53,故宫,宫殿,明,1406,15世纪,北京市,建筑结构体系,抬梁式,0.85
53,故宫,宫殿,明,1406,15世纪,北京市,建筑材料,汉白玉,0.75
53,故宫,宫殿,明,1406,15世纪,北京市,建筑材料,木材,0.7
53,故宫,宫殿,明,1406,15世纪,北京市,建筑功能,外朝,0.96
53,故宫,宫殿,明,1406,15世纪,北京市,建筑功能,内廷,0.96
53,故宫,宫殿,明,1406,15世纪,北京市,建筑功能,佛堂,0.9
53,故宫,宫殿,明,1406,15世纪,北京市,营造技艺,预制拼装,0.88
53,故宫,宫殿,明,1406,15世纪,北京市,营造技艺,官式营造,0.85
53,故宫,宫殿,明,1406,15世纪,北京市,建筑空间布局,中轴对称,0.97
