dimension,term,building_count,building_ratio,occurrence_count
建筑材料,木材,189,0.460976,189
建筑材料,砖石,101,0.246341,101
建筑材料,石材,79,0.192683,79
建筑结构体系,抬梁式,79,0.192683,79
建筑材料,青砖,70,0.170732,70
建筑结构体系,穿斗式,55,0.134146,55
建筑空间布局,围院结构,45,0.109756,45
建筑空间布局,坐北朝南,44,0.107317,44
营造技艺,榫卯结构,44,0.107317,44
建筑空间布局,中轴对称,43,0.104878,43
建筑结构体系,木构架,35,0.085366,35
建筑材料,生土,33,0.080488,33
营造技艺,木雕,33,0.080488,33
建筑材料,砖,31,0.07561,31
建筑功能,民居,29,0.070732,29
建筑材料,青石,27,0.065854,27
营造技艺,砖雕,25,0.060976,25
建筑结构体系,砖木结构,24,0.058537,24
建筑结构体系,石拱桥,23,0.056098,23
建筑功能,住宅,22,0.053659,22
建筑材料,灰瓦,22,0.053659,22
建筑空间布局,多进院落,22,0.053659,22
营造技艺,石雕,22,0.053659,22
建筑材料,条石,21,0.05122,21
建筑结构体系,硬山顶,21,0.05122,21
建筑功能,祠堂,19,0.046341,19
建筑功能,交通桥梁,18,0.043902,18
建筑功能,宗祠,18,0.043902,18
建筑功能,军事防御,16,0.039024,16
建筑空间布局,三进院落,16,0.039024,16
建筑结构体系,四合院,16,0.039024,16
建筑功能,交通要道,15,0.036585,15
建筑材料,花岗岩,15,0.036585,15
建筑材料,夯土,13,0.031707,13
建筑材料,砖雕,13,0.031707,13
营造技艺,雕花装饰,13,0.031707,13
建筑功能,居住,12,0.029268,12
建筑空间布局,南北走向,12,0.029268,12
营造技艺,拱券砌筑,12,0.029268,12
建筑功能,交通通行,11,0.026829,11
建筑空间布局,中轴线布局,11,0.026829,11
营造技艺,传统木构,11,0.026829,11
营造技艺,彩绘,11,0.026829,11
建筑结构体系,抬梁式木构架,10,0.02439,10
营造技艺,糯米灰浆,10,0.02439,10
营造技艺,雕花门窗,10,0.02439,10
建筑功能,书房,9,0.021951,9
建筑功能,书斋,9,0.021951,9
建筑材料,木构架,9,0.021951,9
建筑材料,汉白玉,9,0.021951,9
建筑材料,石板,9,0.021951,9
建筑空间布局,天井院落,9,0.021951,9
建筑空间布局,院落组合,9,0.021951,9
建筑结构体系,围院结构,9,0.021951,9
建筑结构体系,瓮城,9,0.021951,9
建筑结构体系,重檐歇山顶,9,0.021951,9
营造技艺,浮雕,9,0.021951,9
建筑材料,木雕,8,0.019512,8
建筑材料,石,8,0.019512,8
建筑材料,石砌,8,0.019512,8
建筑材料,石雕,8,0.019512,8
建筑空间布局,中轴对称布局,8,0.019512,8
建筑空间布局,四合院,8,0.019512,8
建筑结构体系,三进院落,8,0.019512,8
建筑结构体系,中轴对称,8,0.019512,8
建筑结构体系,木结构,8,0.019512,8
建筑结构体系,歇山顶,8,0.019512,8
营造技艺,抬梁式,8,0.019512,8
建筑功能,交通桥,7,0.017073,7
建筑功能,博物馆,7,0.017073,7
建筑功能,民俗博物馆,7,0.017073,7
建筑功能,花厅,7,0.017073,7
建筑材料,糯米灰浆,7,0.017073,7
建筑材料,青瓦,7,0.017073,7
建筑空间布局,东西走向,7,0.017073,7
建筑空间布局,依山就势,7,0.017073,7
建筑空间布局,四进院落,7,0.017073,7
建筑空间布局,对称布局,7,0.017073,7
建筑结构体系,穿斗式木构架,7,0.017073,7
营造技艺,传统木作,7,0.017073,7
营造技艺,夯土技术,7,0.017073,7
营造技艺,木构架,7,0.017073,7
建筑功能,家族聚居,6,0.014634,6
建筑功能,故居,6,0.014634,6
建筑功能,粮仓,6,0.014634,6
建筑材料,琉璃瓦,6,0.014634,6
建筑空间布局,坐东朝西,6,0.014634,6
建筑空间布局,坐南朝北,6,0.014634,6
建筑空间布局,天井,6,0.014634,6
建筑空间布局,轴线对称,6,0.014634,6
建筑结构体系,多进院落,6,0.014634,6
建筑结构体系,硬山式,6,0.014634,6
营造技艺,抬梁式构架,6,0.014634,6
建筑功能,厅堂,5,0.012195,5
建筑功能,古民居,5,0.012195,5
建筑功能,府第,5,0.012195,5
建筑功能,祭祀空间,5,0.012195,5
建筑功能,行政办公,5,0.012195,5
建筑功能,衙署,5,0.012195,5
建筑功能,防御功能,5,0.012195,5
建筑材料,木板,5,0.012195,5
