building_type,dimension,rank,term,building_count,ratio_in_type
官府,建筑功能,1,军事防御,13,0.12381
官府,建筑功能,2,衙署,5,0.047619
官府,建筑功能,3,府第,4,0.038095
官府,建筑功能,4,粮仓,4,0.038095
官府,建筑功能,5,行政办公,4,0.038095
官府,建筑功能,6,博物馆,3,0.028571
官府,建筑功能,7,监狱,3,0.028571
官府,建筑功能,8,祠堂,3,0.028571
官府,建筑功能,9,科举考场,3,0.028571
官府,建筑功能,10,防御,3,0.028571
官府,建筑功能,11,交通穿行,2,0.019048
官府,建筑功能,12,仓储,2,0.019048
官府,建筑功能,13,会馆,2,0.019048
官府,建筑功能,14,办公场所,2,0.019048
官府,建筑功能,15,城门楼,2,0.019048
官府,建筑功能,16,大堂,2,0.019048
官府,建筑功能,17,官署,2,0.019048
官府,建筑功能,18,官邸,2,0.019048
官府,建筑功能,19,府邸,2,0.019048
官府,建筑功能,20,报时,2,0.019048
官府,建筑材料,1,木材,50,0.47619
官府,建筑材料,2,砖石,32,0.304762
官府,建筑材料,3,青砖,30,0.285714
官府,建筑材料,4,灰瓦,11,0.104762
官府,建筑材料,5,夯土,8,0.07619
官府,建筑材料,6,砖,7,0.066667
官府,建筑材料,7,生土,6,0.057143
官府,建筑材料,8,石材,6,0.057143
官府,建筑材料,9,条石,5,0.047619
官府,建筑材料,10,琉璃瓦,5,0.047619
官府,建筑材料,11,木构架,4,0.038095
官府,建筑材料,12,青石,4,0.038095
官府,建筑材料,13,布瓦,3,0.028571
官府,建筑材料,14,灰筒瓦,3,0.028571
官府,建筑材料,15,青瓦,3,0.028571
官府,建筑材料,16,太湖石,2,0.019048
官府,建筑材料,17,料石,2,0.019048
官府,建筑材料,18,汉白玉,2,0.019048
官府,建筑材料,19,石城,2,0.019048
官府,建筑材料,20,绿琉璃剪边,2,0.019048
官府,建筑空间布局,1,中轴对称,22,0.209524
官府,建筑空间布局,2,围院结构,18,0.171429
官府,建筑空间布局,3,坐北朝南,17,0.161905
官府,建筑空间布局,4,多进院落,7,0.066667
官府,建筑空间布局,5,中轴对称布局,5,0.047619
官府,建筑空间布局,6,瓮城布局,5,0.047619
官府,建筑空间布局,7,三进院落,4,0.038095
官府,建筑空间布局,8,中轴线布局,4,0.038095
官府,建筑空间布局,9,坐南朝北,4,0.038095
官府,建筑空间布局,10,三路并列,3,0.028571
官府,建筑空间布局,11,四合院,3,0.028571
官府,建筑空间布局,12,四门制,3,0.028571
官府,建筑空间布局,13,面阔七间,3,0.028571
官府,建筑空间布局,14,依山就势,2,0.019048
官府,建筑空间布局,15,六进院落,2,0.019048
官府,建筑空间布局,16,四合院式,2,0.019048
官府,建筑空间布局,17,四进院落,2,0.019048
官府,建筑空间布局,18,坐北向南,2,0.019048
官府,建筑空间布局,19,方形平面,2,0.019048
官府,建筑空间布局,20,院落式布局,2,0.019048
官府,建筑结构体系,1,抬梁式,28,0.266667
官府,建筑结构体系,2,木构架,11,0.104762
官府,建筑结构体系,3,穿斗式,10,0.095238
官府,建筑结构体系,4,瓮城,8,0.07619
官府,建筑结构体系,5,重檐歇山顶,8,0.07619
官府,建筑结构体系,6,歇山顶,5,0.047619
官府,建筑结构体系,7,砖木结构,5,0.047619
官府,建筑结构体系,8,硬山顶,5,0.047619
官府,建筑结构体系,9,城墙,4,0.038095
官府,建筑结构体系,10,硬山式,4,0.038095
官府,建筑结构体系,11,角楼,4,0.038095
官府,建筑结构体系,12,护城河,3,0.028571
官府,建筑结构体系,13,敌台,3,0.028571
官府,建筑结构体系,14,楼阁式,3,0.028571
官府,建筑结构体系,15,石砌城墙,3,0.028571
官府,建筑结构体系,16,面阔五间,3,0.028571
官府,建筑结构体系,17,三路并列,2,0.019048
官府,建筑结构体系,18,三重檐歇山顶,2,0.019048
官府,建筑结构体系,19,中轴对称,2,0.019048
官府,建筑结构体系,20,减柱造,2,0.019048
官府,营造技艺,1,榫卯结构,18,0.171429
官府,营造技艺,2,雕花装饰,5,0.047619
官府,营造技艺,3,彩绘,4,0.038095
官府,营造技艺,4,抬梁式构架,4,0.038095
官府,营造技艺,5,砖雕,4,0.038095
官府,营造技艺,6,依山就势,3,0.028571
官府,营造技艺,7,抬梁式,3,0.028571
官府,营造技艺,8,糯米灰浆,3,0.028571
官府,营造技艺,9,雕花门窗,3,0.028571
官府,营造技艺,10,传统木作,2,0.019048
官府,营造技艺,11,减柱造,2,0.019048
官府,营造技艺,12,台基砌筑,2,0.019048
官府,营造技艺,13,四合院营造法,2,0.019048
官府,营造技艺,14,城垣砌筑,2,0.019048
官府,营造技艺,15,夯土筑城,2,0.019048
官府,营造技艺,16,斗拱,2,0.019048
官府,营造技艺,17,旋子彩画,2,0.019048
官府,营造技艺,18,木雕,2,0.019048
官府,营造技艺,19,石雕,2,0.019048
官府,营造技艺,20,砖券砌筑,2,0.019048
宫殿,建筑功能,1,王府,3,0.166667
宫殿,建筑功能,2,皇家园林,3,0.166667
宫殿,建筑功能,3,照壁,2,0.111111
宫殿,建筑功能,4,行宫,2,0.111111
宫殿,建筑功能,5,习射场所,1,0.055556
宫殿,建筑功能,6,佛堂,1,0.055556
宫殿,建筑功能,7,内廷,1,0.055556
宫殿,建筑功能,8,办公用房,1,0.055556
宫殿,建筑功能,9,厨厩,1,0.055556
宫殿,建筑功能,10,古典园林,1,0.055556
宫殿,建筑功能,11,古建筑群,1,0.055556
宫殿,建筑功能,12,听政殿,1,0.055556
宫殿,建筑功能,13,夏宫,1,0.055556
宫殿,建筑功能,14,外朝,1,0.055556
宫殿,建筑功能,15,学校,1,0.055556
宫殿,建筑功能,16,宗教法事场所,1,0.055556
宫殿,建筑功能,17,官学场所,1,0.055556
宫殿,建筑功能,18,宫殿,1,0.055556
宫殿,建筑功能,19,寝宫,1,0.055556
宫殿,建筑功能,20,居住,1,0.055556
宫殿,建筑材料,1,木材,6,0.333333
宫殿,建筑材料,2,砖石,5,0.277778
宫殿,建筑材料,3,石材,3,0.166667
宫殿,建筑材料,4,汉白玉,2,0.111111
宫殿,建筑材料,5,生土,2,0.111111
宫殿,建筑材料,6,城砖,1,0.055556
宫殿,建筑材料,7,大青石,1,0.055556
宫殿,建筑材料,8,太湖石,1,0.055556
宫殿,建筑材料,9,夯土,1,0.055556
宫殿,建筑材料,10,宝瓶火焰珠攒尖顶,1,0.055556
宫殿,建筑材料,11,巨石,1,0.055556
宫殿,建筑材料,12,方石,1,0.055556
宫殿,建筑材料,13,木构架,1,0.055556
宫殿,建筑材料,14,条石,1,0.055556
宫殿,建筑材料,15,楠木,1,0.055556
宫殿,建筑材料,16,渣土,1,0.055556
宫殿,建筑材料,17,灰砖,1,0.055556
宫殿,建筑材料,18,琉璃,1,0.055556
宫殿,建筑材料,19,琉璃瓦,1,0.055556
宫殿,建筑材料,20,白石,1,0.055556
宫殿,建筑空间布局,1,中轴对称,4,0.222222
宫殿,建筑空间布局,2,坐北朝南,3,0.166667
宫殿,建筑空间布局,3,四合院,2,0.111111
宫殿,建筑空间布局,4,多进建筑,2,0.111111
宫殿,建筑空间布局,5,对称布局,2,0.111111
宫殿,建筑空间布局,6,长方形平面,2,0.111111
宫殿,建筑空间布局,7,院落组合,2,0.111111
宫殿,建筑空间布局,8,三段式横向布局,1,0.055556
宫殿,建筑空间布局,9,三路并列,1,0.055556
宫殿,建筑空间布局,10,三路院落,1,0.055556
宫殿,建筑空间布局,11,东路-中路-西路三段式,1,0.055556
宫殿,建筑空间布局,12,东院西院分置,1,0.055556
宫殿,建筑空间布局,13,两层楼阁,1,0.055556
宫殿,建筑空间布局,14,中段突出,1,0.055556
宫殿,建筑空间布局,15,中轴线布局,1,0.055556
宫殿,建筑空间布局,16,临街设置,1,0.055556
宫殿,建筑空间布局,17,主体建筑群分区,1,0.055556
宫殿,建筑空间布局,18,八旗帐殿布局,1,0.055556
宫殿,建筑空间布局,19,制高点布局,1,0.055556
宫殿,建筑空间布局,20,前朝后寝,1,0.055556
宫殿,建筑结构体系,1,抬梁式,2,0.111111
宫殿,建筑结构体系,2,抬梁式木构架,2,0.111111
宫殿,建筑结构体系,3,硬山顶,2,0.111111
宫殿,建筑结构体系,4,三路布局,1,0.055556
宫殿,建筑结构体系,5,中轴对称,1,0.055556
宫殿,建筑结构体系,6,中轴线布局,1,0.055556
宫殿,建筑结构体系,7,九梁十八柱七十二条脊,1,0.055556
宫殿,建筑结构体系,8,五架梁,1,0.055556
宫殿,建筑结构体系,9,亭台殿阁组合,1,0.055556
宫殿,建筑结构体系,10,仿木结构,1,0.055556
宫殿,建筑结构体系,11,前庭后寝,1,0.055556
宫殿,建筑结构体系,12,十字形拱券,1,0.055556
宫殿,建筑结构体系,13,单檐歇山顶,1,0.055556
宫殿,建筑结构体系,14,单檐硬山顶,1,0.055556
宫殿,建筑结构体系,15,台基结构,1,0.055556
宫殿,建筑结构体系,16,四柱三楼牌坊式,1,0.055556
宫殿,建筑结构体系,17,四柱三间式,1,0.055556
宫殿,建筑结构体系,18,四门对称,1,0.055556
宫殿,建筑结构体系,19,围廊,1,0.055556
宫殿,建筑结构体系,20,土山结构,1,0.055556
宫殿,营造技艺,1,浮雕,3,0.166667
宫殿,营造技艺,2,榫卯结构,2,0.111111
宫殿,营造技艺,3,三彩如意斗拱,1,0.055556
宫殿,营造技艺,4,三踩出单昂,1,0.055556
宫殿,营造技艺,5,云纹海水纹装饰,1,0.055556
宫殿,营造技艺,6,仿天一阁,1,0.055556
宫殿,营造技艺,7,传统园林造景,1,0.055556
宫殿,营造技艺,8,传统夯筑,1,0.055556
宫殿,营造技艺,9,传统木构架,1,0.055556
宫殿,营造技艺,10,修缮开放展示,1,0.055556
宫殿,营造技艺,11,借景,1,0.055556
宫殿,营造技艺,12,元代佛像画风,1,0.055556
宫殿,营造技艺,13,出昂瘦削尖曲,1,0.055556
宫殿,营造技艺,14,剔地阳文,1,0.055556
宫殿,营造技艺,15,十字拱,1,0.055556
宫殿,营造技艺,16,取法自然,1,0.055556
宫殿,营造技艺,17,叠山理水,1,0.055556
宫殿,营造技艺,18,唐卡装饰,1,0.055556
宫殿,营造技艺,19,圆雕,1,0.055556
