column,total_rows,non_empty_count,empty_count,unique_raw_count,multi_value_cell_count,multi_value_cell_ratio,split_token_total_count,split_token_unique_count,top_raw_values,top_split_tokens,numeric_ratio,numeric_count,numeric_min,numeric_max,numeric_mean,numeric_median
line_no,410,410,0,410,0,0.0,410,410,"[{""value"": ""11"", ""count"": 1}, {""value"": ""13"", ""count"": 1}, {""value"": ""53"", ""count"": 1}, {""value"": ""65"", ""count"": 1}, {""value"": ""66"", ""count"": 1}, {""value"": ""73"", ""count"": 1}, {""value"": ""76"", ""count"": 1}, {""value"": ""91"", ""count"": 1}, {""value"": ""94"", ""count"": 1}, {""value"": ""99"", ""count"": 1}]","[{""token"": ""11"", ""count"": 1}, {""token"": ""13"", ""count"": 1}, {""token"": ""53"", ""count"": 1}, {""token"": ""65"", ""count"": 1}, {""token"": ""66"", ""count"": 1}, {""token"": ""73"", ""count"": 1}, {""token"": ""76"", ""count"": 1}, {""token"": ""91"", ""count"": 1}, {""token"": ""94"", ""count"": 1}, {""token"": ""99"", ""count"": 1}]",1.0,410,11.0,2169.0,1154.839024,1212.5
name,410,410,0,409,0,0.0,410,409,"[{""value"": ""永济桥"", ""count"": 2}, {""value"": ""安济桥"", ""count"": 1}, {""value"": ""永通桥"", ""count"": 1}, {""value"": ""故宫"", ""count"": 1}, {""value"": ""沈阳故宫"", ""count"": 1}, {""value"": ""国子监"", ""count"": 1}, {""value"": ""杜甫草堂"", ""count"": 1}, {""value"": ""避暑山庄"", ""count"": 1}, {""value"": ""皇史宬"", ""count"": 1}, {""value"": ""古观象台"", ""count"": 1}]","[{""token"": ""永济桥"", ""count"": 2}, {""token"": ""安济桥"", ""count"": 1}, {""token"": ""永通桥"", ""count"": 1}, {""token"": ""故宫"", ""count"": 1}, {""token"": ""沈阳故宫"", ""count"": 1}, {""token"": ""国子监"", ""count"": 1}, {""token"": ""杜甫草堂"", ""count"": 1}, {""token"": ""避暑山庄"", ""count"": 1}, {""token"": ""皇史宬"", ""count"": 1}, {""token"": ""古观象台"", ""count"": 1}]",0.0,0,,,,
building_type,410,410,0,4,0,0.0,410,4,"[{""value"": ""民居"", ""count"": 195}, {""value"": ""官府"", ""count"": 105}, {""value"": ""桥梁"", ""count"": 92}, {""value"": ""宫殿"", ""count"": 18}]","[{""token"": ""民居"", ""count"": 195}, {""token"": ""官府"", ""count"": 105}, {""token"": ""桥梁"", ""count"": 92}, {""token"": ""宫殿"", ""count"": 18}]",0.0,0,,,,
start_dynasty,410,410,0,14,0,0.0,410,14,"[{""value"": ""清"", ""count"": 160}, {""value"": ""明"", ""count"": 147}, {""value"": ""宋"", ""count"": 41}, {""value"": ""元"", ""count"": 19}, {""value"": ""唐"", ""count"": 16}, {""value"": ""隋"", ""count"": 6}, {""value"": ""金"", ""count"": 5}, {""value"": ""五代十国"", ""count"": 4}, {""value"": ""东汉"", ""count"": 3}, {""value"": ""东晋"", ""count"": 3}]","[{""token"": ""清"", ""count"": 160}, {""token"": ""明"", ""count"": 147}, {""token"": ""宋"", ""count"": 41}, {""token"": ""元"", ""count"": 19}, {""token"": ""唐"", ""count"": 16}, {""token"": ""隋"", ""count"": 6}, {""token"": ""金"", ""count"": 5}, {""token"": ""五代十国"", ""count"": 4}, {""token"": ""东汉"", ""count"": 3}, {""token"": ""东晋"", ""count"": 3}]",0.0,0,,,,
start_year,410,410,0,234,0,0.0,410,234,"[{""value"": ""1368"", ""count"": 36}, {""value"": ""1644"", ""count"": 32}, {""value"": ""1736"", ""count"": 12}, {""value"": ""1573"", ""count"": 8}, {""value"": ""1875"", ""count"": 6}, {""value"": ""1522"", ""count"": 6}, {""value"": ""1662"", ""count"": 6}, {""value"": ""1796"", ""count"": 5}, {""value"": ""1821"", ""count"": 4}, {""value"": ""1621"", ""count"": 4}]","[{""token"": ""1368"", ""count"": 36}, {""token"": ""1644"", ""count"": 32}, {""token"": ""1736"", ""count"": 12}, {""token"": ""1573"", ""count"": 8}, {""token"": ""1875"", ""count"": 6}, {""token"": ""1522"", ""count"": 6}, {""token"": ""1662"", ""count"": 6}, {""token"": ""1796"", ""count"": 5}, {""token"": ""1821"", ""count"": 4}, {""token"": ""1621"", ""count"": 4}]",1.0,410,-540.0,1910.0,1488.912195,1573.0
century,410,410,0,18,0,0.0,410,18,"[{""value"": ""14世纪"", ""count"": 71}, {""value"": ""17世纪"", ""count"": 70}, {""value"": ""19世纪"", ""count"": 58}, {""value"": ""18世纪"", ""count"": 52}, {""value"": ""16世纪"", ""count"": 42}, {""value"": ""15世纪"", ""count"": 33}, {""value"": ""13世纪"", ""count"": 19}, {""value"": ""12世纪"", ""count"": 14}, {""value"": ""11世纪"", ""count"": 13}, {""value"": ""20世纪"", ""count"": 8}]","[{""token"": ""14世纪"", ""count"": 71}, {""token"": ""17世纪"", ""count"": 70}, {""token"": ""19世纪"", ""count"": 58}, {""token"": ""18世纪"", ""count"": 52}, {""token"": ""16世纪"", ""count"": 42}, {""token"": ""15世纪"", ""count"": 33}, {""token"": ""13世纪"", ""count"": 19}, {""token"": ""12世纪"", ""count"": 14}, {""token"": ""11世纪"", ""count"": 13}, {""token"": ""20世纪"", ""count"": 8}]",0.0,0,,,,
century_num,410,410,0,18,0,0.0,410,18,"[{""value"": ""14"", ""count"": 71}, {""value"": ""17"", ""count"": 70}, {""value"": ""19"", ""count"": 58}, {""value"": ""18"", ""count"": 52}, {""value"": ""16"", ""count"": 42}, {""value"": ""15"", ""count"": 33}, {""value"": ""13"", ""count"": 19}, {""value"": ""12"", ""count"": 14}, {""value"": ""11"", ""count"": 13}, {""value"": ""20"", ""count"": 8}]","[{""token"": ""14"", ""count"": 71}, {""token"": ""17"", ""count"": 70}, {""token"": ""19"", ""count"": 58}, {""token"": ""18"", ""count"": 52}, {""token"": ""16"", ""count"": 42}, {""token"": ""15"", ""count"": 33}, {""token"": ""13"", ""count"": 19}, {""token"": ""12"", ""count"": 14}, {""token"": ""11"", ""count"": 13}, {""token"": ""20"", ""count"": 8}]",1.0,410,-6.0,20.0,15.35122,16.0
province,410,410,0,29,0,0.0,410,29,"[{""value"": ""浙江省"", ""count"": 53}, {""value"": ""江苏省"", ""count"": 45}, {""value"": ""河北省"", ""count"": 27}, {""value"": ""山西省"", ""count"": 26}, {""value"": ""湖南省"", ""count"": 24}, {""value"": ""江西省"", ""count"": 23}, {""value"": ""福建省"", ""count"": 23}, {""value"": ""安徽省"", ""count"": 19}, {""value"": ""河南省"", ""count"": 17}, {""value"": ""云南省"", ""count"": 17}]","[{""token"": ""浙江省"", ""count"": 53}, {""token"": ""江苏省"", ""count"": 45}, {""token"": ""河北省"", ""count"": 27}, {""token"": ""山西省"", ""count"": 26}, {""token"": ""湖南省"", ""count"": 24}, {""token"": ""江西省"", ""count"": 23}, {""token"": ""福建省"", ""count"": 23}, {""token"": ""安徽省"", ""count"": 19}, {""token"": ""河南省"", ""count"": 17}, {""token"": ""云南省"", ""count"": 17}]",0.0,0,,,,
address,410,410,0,323,0,0.0,410,323,"[{""value"": ""江苏省苏州市"", ""count"": 8}, {""value"": ""北京市"", ""count"": 5}, {""value"": ""西藏自治区拉萨市城关区"", ""count"": 5}, {""value"": ""江苏省扬州市"", ""count"": 4}, {""value"": ""北京市西城区"", ""count"": 4}, {""value"": ""浙江省义乌市"", ""count"": 4}, {""value"": ""江苏省苏州市吴江区"", ""count"": 4}, {""value"": ""江苏省扬州市广陵区"", ""count"": 4}, {""value"": ""北京市东城区"", ""count"": 3}, {""value"": ""浙江省绍兴市"", ""count"": 3}]","[{""token"": ""江苏省苏州市"", ""count"": 8}, {""token"": ""北京市"", ""count"": 5}, {""token"": ""西藏自治区拉萨市城关区"", ""count"": 5}, {""token"": ""江苏省扬州市"", ""count"": 4}, {""token"": ""北京市西城区"", ""count"": 4}, {""token"": ""浙江省义乌市"", ""count"": 4}, {""token"": ""江苏省苏州市吴江区"", ""count"": 4}, {""token"": ""江苏省扬州市广陵区"", ""count"": 4}, {""token"": ""北京市东城区"", ""count"": 3}, {""token"": ""浙江省绍兴市"", ""count"": 3}]",0.0,0,,,,
start_time_confidence,410,410,0,14,0,0.0,410,14,"[{""value"": ""0.98"", ""count"": 110}, {""value"": ""0.95"", ""count"": 106}, {""value"": ""0.85"", ""count"": 68}, {""value"": ""0.99"", ""count"": 34}, {""value"": ""0.92"", ""count"": 25}, {""value"": ""0.96"", ""count"": 21}, {""value"": ""0.75"", ""count"": 17}, {""value"": ""0.9"", ""count"": 9}, {""value"": ""0.65"", ""count"": 8}, {""value"": ""0.6"", ""count"": 4}]","[{""token"": ""0.98"", ""count"": 110}, {""token"": ""0.95"", ""count"": 106}, {""token"": ""0.85"", ""count"": 68}, {""token"": ""0.99"", ""count"": 34}, {""token"": ""0.92"", ""count"": 25}, {""token"": ""0.96"", ""count"": 21}, {""token"": ""0.75"", ""count"": 17}, {""token"": ""0.9"", ""count"": 9}, {""token"": ""0.65"", ""count"": 8}, {""token"": ""0.6"", ""count"": 4}]",1.0,410,0.4,0.99,0.920854,0.95
