material_category,rank,term,building_count,building_ratio_in_category,term_occurrence_count
石材类,1,砖石,101,0.34589,101
石材类,2,石材,79,0.270548,79
石材类,3,青石,27,0.092466,27
石材类,4,条石,21,0.071918,21
石材类,5,花岗岩,15,0.05137,15
石材类,6,石板,9,0.030822,9
石材类,7,石,8,0.027397,8
石材类,8,石砌,8,0.027397,8
石材类,9,石雕,8,0.027397,8
石材类,10,石刻,5,0.017123,5
石材类,11,假山石,4,0.013699,4
石材类,12,太湖石,4,0.013699,4
石材类,13,巨石,3,0.010274,3
石材类,14,料石,3,0.010274,3
石材类,15,白石,3,0.010274,3
石材类,16,石块,3,0.010274,3
石材类,17,石料,3,0.010274,3
石材类,18,石条,3,0.010274,3
石材类,19,石栏板,3,0.010274,3
石材类,20,石碑,3,0.010274,3
石材类,21,花岗石,3,0.010274,3
石材类,22,黄石,3,0.010274,3
石材类,23,出砖入石,2,0.006849,2
石材类,24,卵石,2,0.006849,2
石材类,25,拱券石,2,0.006849,2
石材类,26,方石,2,0.006849,2
石材类,27,条形方石,2,0.006849,2
石材类,28,武康石,2,0.006849,2
石材类,29,湖石,2,0.006849,2
石材类,30,片石,2,0.006849,2
砖瓦类,1,砖石,101,0.407258,101
砖瓦类,2,青砖,70,0.282258,70
砖瓦类,3,砖,31,0.125,31
砖瓦类,4,灰瓦,22,0.08871,22
砖瓦类,5,砖雕,13,0.052419,13
砖瓦类,6,青瓦,7,0.028226,7
砖瓦类,7,琉璃瓦,6,0.024194,6
砖瓦类,8,砖木结构,4,0.016129,4
砖瓦类,9,小青瓦,3,0.012097,3
砖瓦类,10,布瓦,3,0.012097,3
砖瓦类,11,灰筒瓦,3,0.012097,3
砖瓦类,12,红砖,3,0.012097,3
砖瓦类,13,青砖灰瓦,3,0.012097,3
砖瓦类,14,出砖入石,2,0.008065,2
砖瓦类,15,城砖,2,0.008065,2
砖瓦类,16,灰瓦屋面,2,0.008065,2
砖瓦类,17,灰砖,2,0.008065,2
砖瓦类,18,砖瓦,2,0.008065,2
砖瓦类,19,黑琉璃瓦,2,0.008065,2
砖瓦类,20,黛瓦,2,0.008065,2
砖瓦类,21,内石外砖,1,0.004032,1
砖瓦类,22,包砖,1,0.004032,1
砖瓦类,23,原砖,1,0.004032,1
砖瓦类,24,古砖,1,0.004032,1
砖瓦类,25,土布瓦砖,1,0.004032,1
砖瓦类,26,大青砖,1,0.004032,1
砖瓦类,27,孔雀蓝琉璃瓦,1,0.004032,1
砖瓦类,28,小瓦,1,0.004032,1
砖瓦类,29,手工烧制砖瓦,1,0.004032,1
砖瓦类,30,方砖,1,0.004032,1
木材类,1,木材,189,0.797468,189
木材类,2,木构架,9,0.037975,9
木材类,3,木雕,8,0.033755,8
木材类,4,木板,5,0.021097,5
木材类,5,楠木,5,0.021097,5
木材类,6,砖木结构,4,0.016878,4
木材类,7,原木,3,0.012658,3
木材类,8,木,3,0.012658,3
木材类,9,木构,3,0.012658,3
木材类,10,金漆木雕,2,0.008439,2
木材类,11,上等木料,1,0.004219,1
木材类,12,乔木,1,0.004219,1
木材类,13,仿木结构,1,0.004219,1
木材类,14,余木,1,0.004219,1
木材类,15,古朴木材,1,0.004219,1
木材类,16,古树名木,1,0.004219,1
木材类,17,圆木,1,0.004219,1
木材类,18,土木,1,0.004219,1
木材类,19,坤甸木,1,0.004219,1
木材类,20,巨型木门,1,0.004219,1
木材类,21,木制蟠龙,1,0.004219,1
木材类,22,木拱结构,1,0.004219,1
木材类,23,木条,1,0.004219,1
木材类,24,木构廊屋,1,0.004219,1
木材类,25,木枋,1,0.004219,1
木材类,26,木桩,1,0.004219,1
木材类,27,木梁,1,0.004219,1
木材类,28,木瓦,1,0.004219,1
木材类,29,木石结构,1,0.004219,1
木材类,30,木雕材料,1,0.004219,1
其他材料,1,汉白玉,9,0.118421,9
其他材料,2,灰塑,4,0.052632,4
其他材料,3,彩绘,2,0.026316,2
其他材料,4,彩绘壁画,2,0.026316,2
其他材料,5,清水墙,2,0.026316,2
其他材料,6,红砂岩,2,0.026316,2
其他材料,7,绿琉璃剪边,2,0.026316,2
其他材料,8,茅草,2,0.026316,2
其他材料,9,仿宋建材,1,0.013158,1
其他材料,10,原色材料,1,0.013158,1
其他材料,11,古柏,1,0.013158,1
其他材料,12,壁画材料,1,0.013158,1
其他材料,13,大红立柱,1,0.013158,1
其他材料,14,宝瓶火焰珠攒尖顶,1,0.013158,1
其他材料,15,嵌瓷,1,0.013158,1
其他材料,16,廊屋,1,0.013158,1
其他材料,17,彩塑屋脊,1,0.013158,1
其他材料,18,彩画颜料,1,0.013158,1
其他材料,19,彩绘材料,1,0.013158,1
其他材料,20,彩绘颜料,1,0.013158,1
其他材料,21,彩色围栏,1,0.013158,1
其他材料,22,扎口板,1,0.013158,1
其他材料,23,方体望柱,1,0.013158,1
其他材料,24,曲桥,1,0.013158,1
其他材料,25,望柱,1,0.013158,1
其他材料,26,朱红涂料,1,0.013158,1
其他材料,27,柱头,1,0.013158,1
其他材料,28,桐油,1,0.013158,1
其他材料,29,桥面板,1,0.013158,1
其他材料,30,泥塑材料,1,0.013158,1
土类,1,生土,33,0.5,33
土类,2,夯土,13,0.19697,13
土类,3,三合土,4,0.060606,4
土类,4,黄土,4,0.060606,4
土类,5,土,2,0.030303,2
土类,6,土坯,2,0.030303,2
