序号,编号,名称,图片,时代,地址,备注
48.0,1-0048-3-001,太室阙,,东汉,河南省登封县,
49.0,1-0049-3-002,少室阙,,东汉,河南省登封县,
50.0,1-0050-3-003,启母阙,,东汉,河南省登封县,
51.0,1-0051-3-004,冯焕阙,,东汉,四川省渠县,与第五批赵家村汉阙、王家坪汉阙、蒲家湾汉阙合并，名称：渠县汉阙
52.0,1-0052-3-005,平阳府君阙,,东汉,四川省绵阳县,
53.0,1-0053-3-006,沈府君阙,,东汉,四川省渠县,与第五批赵家村汉阙、王家坪汉阙、蒲家湾汉阙合并，名称：渠县汉阙
54.0,1-0054-3-007,孝堂山郭氏墓石祠,,东汉,山东省济南市,
55.0,1-0055-3-008,嘉祥武氏墓群石刻,,东汉,山东省济宁市,
56.0,1-0056-3-009,高颐墓阙及石刻,,东汉,四川省雅安县,
57.0,1-0057-3-010,褒斜道石门及其摩崖石刻,,汉至宋,陕西省汉中市,
58.0,1-0058-3-011,安济桥,,隋,河北省赵县,
59.0,1-0059-3-012,安平桥,,南宋,福建省晋江县,
60.0,1-0060-3-013,永通桥,,金,河北省赵县,
61.0,1-0061-3-014,嵩岳寺塔,,北魏,河南省登封县,
62.0,1-0062-3-015,四门塔,,东魏,山东省济南市,
63.0,1-0063-3-016,大雁塔,,唐,陕西省西安市,
64.0,1-0064-3-017,小雁塔,,唐,陕西省西安市,
65.0,1-0065-3-018,崇圣寺三塔,,唐、五代,云南省大理白族自治州大理市,
66.0,1-0066-3-019,房山云居寺塔及石经,,隋、唐、辽、金,北京市房山县,第七批房山大白玉塘采石场遗址并入
67.0,1-0067-3-020,兴教寺塔（包括兴教寺其他建筑物）,,唐,陕西省长安县,
68.0,1-0068-3-021,苏州云岩寺塔（包括云岩寺其他建筑物）,,五代,江苏省苏州市,
69.0,1-0069-3-022,祐国寺塔,,北宋,河南省开封市,
70.0,1-0070-3-023,定县开元寺塔,,北宋,河北省定县,
71.0,1-0071-3-024,佛宫寺释迦塔,,辽,山西省应县,
72.0,1-0072-3-025,六和塔,,南宋,浙江省杭州市,
73.0,1-0073-3-026,广惠寺华塔,,金,河北省正定县,
74.0,1-0074-3-027,妙应寺白塔,,元,北京市西城区,
75.0,1-0075-3-028,真觉寺金刚宝座,,明,北京市海淀区,
76.0,1-0076-3-029,海宝塔,,清,宁夏回族自治区银川市,
77.0,1-0077-3-030,义慈惠石柱,,北齐,河北省易县,
78.0,1-0078-3-031,赵州陀罗尼经幢,,北宋,河北省宁晋县,
79.0,1-0079-3-032,南禅寺大殿,,唐,山西省五台县,
80.0,1-0080-3-033,佛光寺,,唐至清,山西省五台县,
81.0,1-0081-3-034,大昭寺,,,西藏自治区拉萨市,
82.0,1-0082-3-035,昌珠寺,,,西藏自治区乃东县,
83.0,1-0083-3-036,光孝寺,,五代至明,广东省广州市,
84.0,1-0084-3-037,独乐寺,,辽,河北省蓟县,
85.0,1-0085-3-038,晋祠,,宋,山西省太原市,
86.0,1-0086-3-039,奉国寺,,辽,辽宁省义县,
87.0,1-0087-3-040,清净寺,,宋,福建省泉州市,
88.0,1-0088-3-041,善化寺,,辽、金,山西省大同市,
89.0,1-0089-3-042,隆兴寺,,宋,河北省正定县,
90.0,1-0090-3-043,保国寺,,北宋,浙江省宁波市,
91.0,1-0091-3-044,华严寺,,辽、金、清,山西省大同市,
92.0,1-0092-3-045,白马寺,,金至清,河南省洛阳市,
93.0,1-0093-3-046,永乐宫,,元,山西省芮城县,
94.0,1-0094-3-047,武当山金殿,,元、明,湖北省光化县,
95.0,1-0095-3-048,萨迦寺,,元,西藏自治区萨迦县,
96.0,1-0096-3-049,广胜寺,,元、明,山西省洪洞县,
97.0,1-0097-3-050,观星台,,元,河南省登封县,
98.0,1-0098-3-051,居庸关云台,,元,北京市昌平县,
99.0,1-0099-3-052,曲阜孔庙及孔府,,金至清,山东省曲阜县,
100.0,1-0100-3-053,故宫,,明、清,北京市,
101.0,1-0101-3-054,万里长城－八达岭,,明,北京市延庆县,
102.0,1-0102-3-055,万里长城－山海关,,明,河北省秦皇岛市,
103.0,1-0103-3-056,万里长城－嘉峪关,,明,甘肃省酒泉市,
104.0,1-0104-3-057,西安城墙,,明,陕西省西安市,
105.0,1-0105-3-058,天坛,,明,北京市崇文区,
106.0,1-0106-3-059,北海及团城,,明、清,北京市西城区,
107.0,1-0107-3-060,布达拉宫,,明至民国,西藏自治区拉萨市,
108.0,1-0108-3-061,噶丹寺,,明初至清,西藏自治区拉萨市,
109.0,1-0109-3-062,扎什伦布寺,,明初至清,西藏自治区日喀则县,
110.0,1-0110-3-063,智化寺,,明,北京市东城区,
111.0,1-0111-3-064,塔尔寺,,明,青海省湟中县,
112.0,1-0112-3-065,沈阳故宫,,清,辽宁省沈阳市,
113.0,1-0113-3-066,国子监,,清,北京市东城区,
114.0,1-0114-3-067,雍和宫,,清,北京市东城区,
115.0,1-0115-3-068,普宁寺,,清,河北省承德市,
116.0,1-0116-3-069,普乐寺,,清,河北省承德市,
117.0,1-0117-3-070,普陀宗乘之庙,,清,河北省承德市,
118.0,1-0118-3-071,须弥福寿之庙,,清,河北省承德市,
119.0,1-0119-3-072,武侯祠,,清,四川省成都市,
120.0,1-0120-3-073,杜甫草堂,,清,四川省成都市,
121.0,1-0121-3-074,拙政园,,明、清,江苏省苏州市,
122.0,1-0122-3-075,颐和园,,清,北京市海淀区,
123.0,1-0123-3-076,避暑山庄,,清,河北省承德市,
124.0,1-0124-3-077,留园,,清,江苏省苏州市,
16.0,2-0016-3-001,修定寺塔,,唐,河南省安阳县,
17.0,2-0017-3-002,玉泉寺及铁塔,,宋,湖北省当阳县,
18.0,2-0018-3-003,万部华严经塔,,辽,内蒙古自治区呼和浩特市,
19.0,2-0019-3-004,华林寺大殿,,宋,福建省福州市,
20.0,2-0020-3-005,开元寺,,宋至清,福建省泉州市,
21.0,2-0021-3-006,灵岩寺,,唐至清,山东省长清县,
22.0,2-0022-3-007,玄妙观三清殿,,宋,江苏省苏州市,
23.0,2-0023-3-008,岩山寺,,金,山西省繁峙县,
24.0,2-0024-3-009,北岳庙,,元,河北省曲阳县,
25.0,2-0025-3-010,紫霄宫,,明,湖北省均县,
